# Form:
# ID, Name, Type, Energy(KCal), Protein(g), Lipid(g), Glucid(g), Celluloza(g)

1,gạo nếp,cereal,346,8.4,1.6,74.9,0.5
2,gạo tẻ,cereal,344,7.9,1.0,75.9,0.4
3,ngô,cereal,196,4.1,2.3,39.6,1.2
4,bánh mỳ,cereal,249,7.9,0.8,52.6,0.2
5,phở,cereal,143,3.2,0.4,31.7,0.0
6,bún,cereal,110,1.7,0.0,25.7,0.5
7,mỳ,cereal,349,11.0,0.9,74.2,0.3

8,khoai lang,vegetable,119,0.8,0.2,28.5,1.3
9,khoai tây,vegetable,93,2.0,0.1,20.9,1.0
10,đậu đũa,vegetable,320,23.7,2.0,51.9,4.3
11,đậu hà lan,vegetable,318,22.2,1.4,54.1,6.0
12,đậu xanh,vegetable,328,23.4,2.4,53.1,4.7
13,đậu phụ,vegetable,95,10.9,5.4,0.7,0.4
14,cà chua,vegetable,20,0.6,0.2,4.0,0.8
15,cà pháo,vegetable,20,1.5,0,3.6,1.6
16,cà rốt,vegetable,39,1.5,0.2,7.8,1.2
17,cải bắp,vegetable,29,1.8,0.1,5.3,1.6
18,măng chua,vegetable,11,1.4,0,1.4,4.1
19,mướp đắng,vegetable,16,0.9,0.2,2.8,1.1
20,rau muống,vegetable,25,3.2,0.4,2.1,1.0
21,rau ngót,vegetable,35,5.3,0,3.4,2.5
22,su hào,vegetable,37,2.8,0.1,6.2,1.7
23,su su,vegetable,19,0.8,0.1,3.6,1.0
24,súp lơ,vegetable,26,3.0,0.3,2.9,3.2
25,dưa muối,vegetable,18,1.2,0,3.3,1.6

26,bưởi,fruit,30,0.2,0,7.3,0.7
27,cam,fruit,38,0.9,0.1,8.3,1.4
28,chuối tiêu,fruit,97,1.5,0.2,22.2,0.8
29,dưa hấu,fruit,16,1.2,0.2,2.3,0.5
30,đu đủ,fruit,36,1.0,0.1,7.6,0.6
31,mắc coọc,fruit,24,0.2,0,5.7,0
32,mít,fruit,62,1.5,0,14.0,1.2
33,quít,fruit,39,0.8,0.3,8.3,0.6
34,táo,fruit,48,0.5,0.2,11.0,0.6
35,xoài,fruit,62,0.6,0.3,14.1,1.8

36,thịt bò,meat,182,21.5,10.7,0,0
37,thịt chó,meat,338,16.0,30.4,0,0
38,thịt gà,meat,199,20.3,13.1,0,0
39,thịt lợn,meat,139,19.0,7.0,0,0
40,thịt vịt,meat,267,17.8,21.8,0,0
41,sườn lợn,meat,187,17.9,12.8,0,0
42,patê,meat,326,10.8,24.6,15.4,0
43,chả lợn,meat,517,10.8,50.4,5.1,0
44,giò lợn,meat,136,21.5,5.5,0,0
45,lạp xưởng,meat,585,20.8,55.0,1.7,0

46,cá chép,fish,96,16.0,3.6,0,0
47,cá ngừ,fish,87,21.0,0.3,0,0
48,cá nục,fish,111,20.2,3.3,0,0
49,cá rô phi,fish,100,19.7,2.3,0,0
50,cá thu,fish,166,18.2,10.3,0,0
51,cá trắm,fish,91,17.0,2.6,0,0
52,mực,fish,73,16.3,0.9,0,0
53,ốc nhồi,fish,84,11.9,0.7,7.6,0

54,trứng,meat,327,13.6,29.8,1.0,0
55,trứng vịt lộn,meat,182,13.6,12.4,4.0,0

56,coca cola,drink,42,0,0,10.4,0
57,rượu nếp,drink,167,4,0,37.7,0.2
58,vodka,drink,273,0,0,0,0
